name,type,category,display_name,visibility,access_mode,description,min,max,inc,enum_values
AutoGainUpperLimitMinInq_Reg_Float,Converter,,AutoGainUpperLimitMinInq_Reg_Float,,,,,,,
AutoGainUpperLimit_Int,Integer,,AutoGainUpperLimit_Int,,,,AutoGainLowerLimit_Reg,AutoGainUpperLimitMaxInq_Reg,,
AutoGainUpperLimit_Reg,IntReg,,AutoGainUpperLimit_Reg,,RW,,,,,
AutoGainUpperLimit_RegAddr,Integer,,AutoGainUpperLimit_RegAddr,,,,,,,
AutoGainUpperLimit_Reg_Float,Converter,,AutoGainUpperLimit_Reg_Float,,,,,,,
AutoLimitInq_RegAddr,Integer,,AutoLimitInq_RegAddr,,,,,,,
BalanceColorTempMode_Reg,IntReg,,BalanceColorTempMode_Reg,,RW,,,,,
BalanceColorTempMode_RegAddr,Integer,,BalanceColorTempMode_RegAddr,,,,,,,
BalanceRatioMaxInq_Reg,IntReg,,BalanceRatioMaxInq_Reg,,RO,,,,,
BalanceRatioMaxInq_RegAddr,Integer,,BalanceRatioMaxInq_RegAddr,,,,,,,
BalanceRatioMinInq_Reg,IntReg,,BalanceRatioMinInq_Reg,,RO,,,,,
BalanceRatioMinInq_RegAddr,Integer,,BalanceRatioMinInq_RegAddr,,,,,,,
BalanceRatioRaw_InqAvailable,IntSwissKnife,,BalanceRatioRaw_InqAvailable,,,,,,,
BalanceRatioRaw_InqPresence_Reg,IntReg,,BalanceRatioRaw_InqPresence_Reg,,RO,,,,,
BalanceRatioRaw_InqPresence_adrCalc,IntSwissKnife,,BalanceRatioRaw_InqPresence_adrCalc,,,,,,,
BalanceRatioSelectorInq_RegAddr,Integer,,BalanceRatioSelectorInq_RegAddr,,,,,,,
BalanceRatioSelectorRegOffsetAddress,IntSwissKnife,,BalanceRatioSelectorRegOffsetAddress,,,,,,,
BalanceRatioSelector_Int,Integer,,BalanceRatioSelector_Int,,,,0,2,,
BalanceRatio_Reg,IntReg,,BalanceRatio_Reg,,RW,,,,,
BalanceRatio_RegAddr,Integer,,BalanceRatio_RegAddr,,,,,,,
BalanceWhiteAutoInq_RegAddr,Integer,,BalanceWhiteAutoInq_RegAddr,,,,,,,
BalanceWhiteAuto_Inq_Bit,IntSwissKnife,,BalanceWhiteAuto_Inq_Bit,,,,,,,
BalanceWhiteAuto_Int,IntConverter,,BalanceWhiteAuto_Int,,,,,,,
BalanceWhiteAuto_Reg,IntReg,,BalanceWhiteAuto_Reg,,RW,,,,,
BalanceWhiteAuto_RegAddr,Integer,,BalanceWhiteAuto_RegAddr,,,,,,,
Bayer_Change_By_RevY_And_Dec_Inq,IntSwissKnife,,Bayer_Change_By_RevY_And_Dec_Inq,,,,,,,
Bayer_Change_Only_By_RevY_Inq,IntSwissKnife,,Bayer_Change_Only_By_RevY_Inq,,,,,,,
BinningHorizontal_RegAddr,Integer,,BinningHorizontal_RegAddr,,,,,,,
BinningHorizontal_Val,IntConverter,,BinningHorizontal_Val,,,,,,,
